Title,Budget,Gross,IMDb Rating,Metascore,Reviews,Likes,Success/Flop
Casino,50000000,116112375,8.016,8.016,5081,34.108,Success
Eyes Wide Shut,65000000,162100000,7.473,7.473,5340,31.708,Success
Annihilation,40000000,43070915,6.397,6.397,7832,30.362,Success
Princess Mononoke,23500000,169000000,8.34,8.34,7020,42.461,Success
Silent Hill,50000000,100605135,6.542,6.542,3782,41.949,Success
Legally Blonde,18000000,141774679,6.743,6.743,3507,33.947,Success
Bridge to Terabithia,60000000,137587063,7.293,7.293,4281,32.294,Success
The Fault in Our Stars,14000000,307166834,7.6,7.6,10522,40.246,Success
Rocky Balboa,24000000,155929020,6.8,6.8,3084,30.259,Success
Tremors,11000000,48572000,6.87,6.87,2845,38.432,Success
Predestination,5500000,4942449,7.44,7.44,5749,42.28,Flop
It's a Wonderful Life,3180000,9644124,8.259,8.259,3763,25.73,Success
Dawn of the Dead,26000000,102278712,7.036,7.036,3499,42.269,Success
Rain Man,25000000,354825435,7.759,7.759,5669,31.627,Success
Escape Plan 2: Hades,20000000,17500000,5.12,5.12,1255,33.732,Flop
Citizen Kane,839727,23218000,8.0,8.0,4893,30.109,Success
Snatch,10000000,83557872,7.803,7.803,8093,36.116,Success
The 5th Wave,38000000,109906372,5.942,5.942,5408,25.07,Success
Rocky III,17000000,270000000,6.9,6.9,3629,30.073,Success
Ava,3000000,500000,6.244,6.244,205,41.265,Flop
Bruce Almighty,80000000,484592874,6.702,6.702,9834,42.032,Success
Superman Returns,270000000,391081192,5.722,5.722,3753,30.017,Success
Nanny McPhee and the Big Bang,35000000,93251121,6.277,6.277,1668,28.5,Success
The Greatest Showman,84000000,432844677,7.915,7.915,8691,31.103,Success
The Pianist,35000000,120072577,8.383,8.383,8121,41.943,Success
Sully,60000000,240797623,7.17,7.17,6558,32.35,Success
Once Upon a Time in the West,5000000,5380118,8.291,8.291,3797,33.343,Success
Big Fish,70000000,123218424,7.763,7.763,6600,28.991,Success
American History X,20000000,23875127,8.354,8.354,10453,37.691,Success
Public Enemies,100000000,214104620,6.678,6.678,4053,36.04,Success
Jason Bourne,120000000,415484914,6.323,6.323,5261,34.444,Success
Star Trek Beyond,185000000,343471816,6.779,6.779,6109,37.943,Success
Akira,10000000,553171,7.952,7.952,3589,36.486,Flop
Major Grom: Plague Doctor,5000000,4493306,6.708,6.708,510,34.456,Flop
Book Club,10000000,78720293,6.25,6.25,697,23.99,Success
Army of Darkness,11000000,21502976,7.269,7.269,2745,29.869,Success
Charlie's Angels: Full Throttle,120000000,259175788,5.449,5.449,2761,41.707,Success
Angels & Demons,150000000,485930816,6.698,6.698,6251,37.316,Success
Deuce Bigalow: Male Gigolo,17000000,65535067,5.93,5.93,1227,39.964,Success
Evil Dead II,3500000,10900000,7.562,7.562,2686,32.81,Success
The Purge,3000000,89328627,6.251,6.251,7718,41.629,Success
The Cabin in the Woods,30000000,71041255,6.602,6.602,7134,41.58,Success
The Curse of La Llorona,9000000,122033739,5.702,5.702,2155,36.213,Success
Platoon,6000000,138530565,7.747,7.747,3977,39.602,Success
Mr. Peabody & Sherman,145000000,272912430,6.735,6.735,2148,32.201,Success
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,9523464,8.134,8.134,4982,25.345,Success
Mr. & Mrs. Smith,110000000,487287646,6.675,6.675,9381,36.988,Success
Mama,15000000,146497771,6.241,6.241,3828,30.134,Success
Mrs. Doubtfire,25000000,441286195,7.2,7.2,5509,29.511,Success
Moonbound,2000000,6666618,6.5,6.5,81,41.251,Success
Monster House,75000000,140175006,6.659,6.659,3537,41.247,Success
The Mermaid,60720000,553810228,6.43,6.43,327,39.125,Success
Star Trek: The Motion Picture,35000000,139000000,6.494,6.494,1511,22.618,Success
The Secret World of Arrietty,23000000,149480483,7.634,7.634,2477,30.621,Success
Happy Feet Two,130000000,150406466,6.126,6.126,1420,32.119,Success
Diary of a Wimpy Kid,15000000,76196538,6.223,6.223,1395,40.169,Success
A Tale of Two Sisters,15050245,1062878,7.103,7.103,1001,34.166,Flop
Bloodshot,42000000,39861118,6.764,6.764,4606,31.128,Flop
Heaven Is for Real,12000000,101332962,6.689,6.689,687,31.413,Success
Zodiac,65000000,84785914,7.517,7.517,9338,36.211,Success
Liar Liar,45000000,302710615,6.651,6.651,5019,31.759,Success
Jigsaw,10000000,102952888,6.207,6.207,3210,34.615,Success
American Beauty,15000000,356296601,8.027,8.027,11034,29.207,Success
Leap Year,19000000,32686500,6.882,6.882,1860,36.351,Success
Immortals,75000000,226904017,5.979,5.979,2324,33.348,Success
The Pursuit of Happyness,55000000,307077295,7.903,7.903,8982,36.743,Success
Peninsula,17000000,42698327,6.798,6.798,2118,33.907,Success
La La Land,30000000,447407695,7.9,7.9,15323,37.356,Success
Rambo III,63000000,189015611,6.2,6.2,2766,39.024,Success
Machine Gun Preacher,30000000,2527904,6.7,6.7,912,29.152,Flop
Ferdinand,111000000,295038508,7.241,7.241,2585,40.8,Success
Return of the Jedi,32350000,572700000,7.89,7.89,14286,38.619,Success
Friday the 13th Part 2,1250000,21722776,6.2,6.2,1402,29.13,Success
Horton Hears a Who!,85000000,298572799,6.49,6.49,2953,34.621,Success
The Matrix Revolutions,150000000,424988211,6.708,6.708,8912,40.768,Success
The Hunger Games,75000000,694394724,7.192,7.192,20327,36.219,Success
Drag Me to Hell,30000000,90810892,6.39,6.39,3276,40.757,Success
Along with the Gods: The Two Worlds,18300000,125983972,8.112,8.112,834,36.574,Success
(500) Days of Summer,7500000,60781545,7.3,7.3,9160,35.517,Success
The Texas Chainsaw Massacre: The Beginning,16000000,107363905,6.1,6.1,1554,38.215,Success
Rogue One: A Star Wars Story,200000000,1056057273,7.485,7.485,14116,33.736,Success
Rumble in the Bronx,7500000,32392047,6.789,6.789,861,31.312,Success
Homefront,22000000,43058898,6.945,6.945,3105,32.807,Success
Last Night in Soho,43000000,22957625,7.401,7.401,2585,37.232,Flop
9,30000000,48428063,6.9,6.9,3195,28.351,Success
Friday the 13th,19000000,91509154,5.742,5.742,2280,34.249,Success
Underworld,22000000,95708457,6.803,6.803,5593,34.508,Success
Cinema Paradiso,5000000,11990401,8.459,8.459,3791,26.496,Success
The Visit,5000000,98450062,6.314,6.314,4271,30.0,Success
Source Code,32000000,147332697,7.295,7.295,7528,33.095,Success
We're the Millers,37000000,269994119,6.807,6.807,8146,40.516,Success
Sherlock Holmes: A Game of Shadows,125000000,334615000,7.129,7.129,9600,29.239,Success
The Emoji Movie,50000000,216909830,5.504,5.504,2772,36.036,Success
Faster,24000000,23081726,6.316,6.316,1706,26.58,Flop
The Transporter,21000000,43928932,6.687,6.687,4773,38.073,Success
Teenage Mutant Ninja Turtles,13500000,201965915,6.607,6.607,1500,35.771,Success
Hocus Pocus,28000000,45395069,7.057,7.057,2657,32.067,Success
3 Idiots,9000000,70000000,7.984,7.984,2093,28.318,Success
Ticket to Paradise,20000000,160542536,6.65,6.65,761,37.629,Success
Mad Max 2,2000000,24600832,7.39,7.39,3206,30.023,Success
Legend of the Guardians: The Owls of Ga'Hoole,80000000,140073390,6.789,6.789,2083,27.711,Success
Cleopatra,44000000,71000000,7.078,7.078,632,30.808,Success
Secretary,4000000,9304609,6.796,6.796,1366,25.758,Success
The Last Witch Hunter,90000000,146936910,5.943,5.943,3298,28.557,Success
Saw 3D,20000000,136151680,5.977,5.977,2577,29.755,Success
The Perks of Being a Wallflower,13000000,33400000,7.782,7.782,9681,36.153,Success
Surf's Up,85000000,149044513,6.371,6.371,2197,32.749,Success
Old School,24000000,87135520,6.577,6.577,1588,30.545,Success
Hard Target,18000000,74189677,6.307,6.307,969,33.742,Success
Child's Play 3,13000000,20560255,5.881,5.881,1347,32.441,Success
Ong Bak 2,8500000,8936663,6.397,6.397,564,30.743,Success
Jeremiah Johnson,3100000,44700000,7.319,7.319,511,24.039,Success
The Good Doctor,6000000,5206,6.219,6.219,217,32.234,Flop
Alpha,51000000,35808437,6.485,6.485,2353,39.943,Flop
The Legend of Drunken Master,10000000,11555430,7.411,7.411,834,30.277,Success
Jiu Jitsu,23000000,99924,4.9,4.9,545,28.501,Flop
Noah,125000000,362637473,5.649,5.649,5754,31.725,Success
The Hills Have Eyes,15000000,69623713,6.415,6.415,2618,36.723,Success
Assassin's Creed,125000000,240697856,5.423,5.423,7236,28.581,Success
Cowboys & Aliens,163000000,174822325,5.585,5.585,4634,28.222,Success
He's Just Not That Into You,40000000,178866158,6.513,6.513,3313,30.02,Success
Seed of Chucky,12000000,24829644,5.432,5.432,1379,39.787,Success
Transporter 2,32000000,89083229,6.311,6.311,3190,35.662,Success
Click,82500000,240685326,6.269,6.269,6373,39.77,Success
The Founder,15000000,24121245,7.1,7.1,4332,31.215,Success
Thelma & Louise,16000000,45361000,7.574,7.574,2953,31.606,Success
The Goonies,19000000,61389680,7.513,7.513,5131,33.6,Success
Beetlejuice,15000000,74714298,7.38,7.38,5981,27.698,Success
Boogeyman,20000000,67192859,4.966,4.966,677,39.651,Success
Birdman or (The Unexpected Virtue of Ignorance),18000000,103215094,7.471,7.471,11980,32.974,Success
13 Hours: The Secret Soldiers of Benghazi,50000000,69411370,7.27,7.27,3135,39.547,Success
Straight Outta Compton,28000000,201634991,7.776,7.776,3504,28.341,Success
The Gentlemen,22000000,115171795,7.683,7.683,4911,34.898,Success
Big Daddy,34200000,234801895,6.5,6.5,2942,28.225,Success
Robots,75000000,262511490,6.423,6.423,4104,35.933,Success
Doomsday,30000000,22472631,5.969,5.969,1142,28.733,Flop
Ghostbusters,144000000,229147509,5.37,5.37,5874,33.236,Success
Daredevil,78000000,179179718,5.2,5.2,4613,27.881,Success
Killers,75000000,98159963,5.948,5.948,2016,23.932,Success
Memento,9000000,39723096,8.188,8.188,13370,35.122,Success
White House Down,150000000,205366737,6.441,6.441,4333,36.173,Success
22 Jump Street,50000000,331333876,6.844,6.844,7330,26.123,Success
Bāhubali: The Beginning,25130430,90747520,7.545,7.545,666,31.723,Success
Tears of the Sun,75000000,86468162,6.815,6.815,1994,32.167,Success
Death Race,45000000,76014335,6.245,6.245,3394,39.336,Success
Death Becomes Her,55000000,149022650,6.76,6.76,2300,20.661,Success
Austin Powers in Goldmember,63000000,296938801,5.995,5.995,2791,31.412,Success
The Hateful Eight,44000000,155760117,7.745,7.745,13047,29.915,Success
Radio,35000000,53293628,7.2,7.2,601,28.709,Success
The NeverEnding Story,27000000,20158808,7.2,7.2,3616,28.048,Flop
Take the Lead,30000000,65742992,6.891,6.891,630,28.708,Success
Garfield,50000000,200804534,5.7,5.7,3486,28.654,Success
The Naked Gun 2½: The Smell of Fear,23000000,86930411,6.777,6.777,1915,20.901,Success
Gremlins,11000000,153083102,7.091,7.091,5686,32.45,Success
King Arthur: Legend of the Sword,175000000,148675066,6.536,6.536,5244,39.193,Flop
Robin Hood,100000000,86493046,5.898,5.898,2715,27.907,Flop
The Hitman's Bodyguard,30000000,176586701,6.886,6.886,5635,28.255,Success
Trading Places,15000000,90404800,7.196,7.196,2865,39.116,Success
Lemony Snicket's A Series of Unfortunate Events,140000000,209073645,6.816,6.816,4621,28.889,Success
Gunpowder Milkshake,30000000,1015760,6.4,6.4,816,27.915,Flop
Ouija,5000000,103590271,5.157,5.157,2478,26.029,Success
Mystic River,25000000,156822020,7.745,7.745,5858,31.433,Success
The A-Team,110000000,177238796,6.395,6.395,4229,38.99,Success
Back to the Future Part III,40000000,244527583,7.465,7.465,9468,25.368,Success
The Princess Diaries,37000000,165335153,6.936,6.936,4482,30.369,Success
Greenland,34000000,52300000,7.143,7.143,3890,36.834,Success
Fireproof,500000,33456317,7.627,7.627,625,35.119,Success
Pitch Perfect 2,29000000,287506194,6.9,6.9,5018,31.035,Success
Nanny McPhee,25000000,123276807,6.643,6.643,2739,30.414,Success
Snow White and the Huntsman,170000000,396600000,5.975,5.975,7405,38.84,Success
Reservoir Dogs,1200000,2859750,8.139,8.139,13017,38.833,Success
Fantastic Four,120000000,167977596,4.415,4.415,5561,34.865,Success
It Follows,2000000,14674076,6.56,6.56,5766,28.789,Success
The Ring,48000000,249348933,6.65,6.65,5569,37.207,Success
No Country for Old Men,25000000,171627166,7.932,7.932,10700,38.741,Success
Mavka: The Forest Song,5000000,11700000,6.9,6.9,29,34.149,Success
A Dog's Purpose,22000000,205035819,7.615,7.615,3015,37.106,Success
Contact,90000000,171120329,7.418,7.418,3924,30.797,Success
Lethal Weapon,15000000,120207127,7.279,7.279,4060,37.24,Success
Snowpiercer,39200000,86758912,6.898,6.898,8734,38.637,Success
The Texas Chain Saw Massacre,85000,30900000,7.3,7.3,2764,36.938,Success
Die Another Day,140000000,431971116,5.959,5.959,3123,32.338,Success
The Rock,75000000,335062621,7.093,7.093,4132,30.485,Success
Peter Rabbit 2: The Runaway,45000000,153000000,7.189,7.189,676,38.594,Success
Beverly Hills Chihuahua,20000000,149281606,5.301,5.301,952,24.136,Success
Face/Off,80000000,245676146,7.016,7.016,4686,36.083,Success
Thunderball,5500000,141195658,6.644,6.644,2019,31.081,Success
After Earth,130000000,243843127,5.197,5.197,6105,27.284,Success
Legends of the Fall,30000000,160638883,7.388,7.388,2253,27.579,Success
Looper,30000000,47042000,6.873,6.873,9444,24.724,Success
Atlantis: The Lost Empire,120000000,186053725,6.976,6.976,4247,27.56,Success
Garfield: A Tail of Two Kitties,60000000,141702264,5.537,5.537,1916,26.822,Success
Mary Poppins,6000000,103082380,7.566,7.566,4250,37.87,Success
Mortal Engines,100000000,83869818,6.169,6.169,4166,32.623,Flop
Seventh Son,95000000,114178613,5.49,5.49,2321,34.815,Success
Spy Kids,35000000,147934180,5.775,5.775,3082,28.511,Success
Interview with the Vampire,60000000,223664608,7.381,7.381,5220,38.343,Success
Minions,74000000,1156730962,6.391,6.391,9847,27.656,Success
Dawn of the Dead,650000,55000000,7.5,7.5,1812,35.354,Success
Hatching,3896000,490000,6.31,6.31,277,25.893,Flop
Barbarella,9000000,2500000,5.984,5.984,607,25.302,Flop
Coherence,50000,102617,7.252,7.252,2493,32.555,Success
Alvin and the Chipmunks: Chipwrecked,75000000,342695435,5.695,5.695,1957,38.263,Success
Movie 43,6000000,32438988,4.574,4.574,2091,24.3,Success
12 Strong,35000000,67450815,6.221,6.221,2564,29.554,Success
In the Mood for Love,150000,14204632,8.11,8.11,2235,30.244,Success
30 Days of Night,30000000,75505973,6.395,6.395,2442,25.094,Success
Fantastic Beasts: The Crimes of Grindelwald,200000000,654855901,6.884,6.884,10046,38.186,Success
Fantastic Four,100000000,333535934,5.775,5.775,8615,30.891,Success
Friends with Benefits,35000000,149542245,6.653,6.653,7281,34.943,Success
Jason Goes to Hell: The Final Friday,3000000,15938065,4.522,4.522,818,31.538,Success
The Ten Commandments: The Movie,39307171,37070177,7.224,7.224,299,28.593,Flop
Doctor Zhivago,11000000,111858363,7.5,7.5,993,27.236,Success
Instant Family,48000000,120989656,7.547,7.547,2600,30.245,Success
Planes,50000000,219788712,5.881,5.881,1501,26.584,Success
Doom,60000000,58072119,5.1,5.1,1985,32.032,Flop
Hustlers,20000000,157600000,6.488,6.488,2704,26.593,Success
The Wedding Ringer,23000000,79799880,6.484,6.484,1466,27.186,Success
Commando,10000000,57500000,6.653,6.653,2445,29.527,Success
Con Air,75000000,224012234,6.717,6.717,3652,32.523,Success
First Blood,15000000,125212904,7.468,7.468,5502,36.72,Success
Cruel Intentions,10500000,76347426,6.788,6.788,2864,29.76,Success
Paul,40000000,97984015,6.711,6.711,5191,32.559,Success
Some Like It Hot,2883848,25000000,8.115,8.115,3066,31.156,Success
Child's Play 2,13000000,35763605,6.233,6.233,1562,31.454,Success
War Room,3000000,67790117,7.815,7.815,418,29.559,Success
Twister,92000000,494471524,6.467,6.467,2838,28.503,Success
For Your Eyes Only,28000000,187412802,6.507,6.507,1610,28.253,Success
The Karate Kid,8000000,130442786,7.177,7.177,3685,35.25,Success
Warcraft,160000000,433677183,6.363,6.363,6233,37.003,Success
Superman IV: The Quest for Peace,17000000,19300000,4.524,4.524,1084,27.244,Success
Jack and Jill,79000000,149673788,4.342,4.342,1894,34.195,Success
Home on the Range,110000000,145358062,6.03,6.03,1808,34.043,Success
Salt,110000000,293329073,6.4,6.4,5019,30.943,Success
The Big Short,28000000,133346506,7.338,7.338,8114,26.145,Success
Cirque du Freak: The Vampire's Assistant,40000000,28169671,5.769,5.769,977,30.039,Flop
The Swan Princess,20000000,9771658,6.588,6.588,879,26.906,Flop
A Fistful of Dollars,200000,14500000,7.857,7.857,3680,26.735,Success
Amélie,10000000,173921954,7.903,7.903,10545,27.081,Success
Hellboy,66000000,99318987,6.7,6.7,6269,37.591,Success
Pokémon: The First Movie,30000000,163644662,6.907,6.907,1293,29.777,Success
Coming to America,30000000,288752301,6.86,6.86,3859,31.322,Success
A Nightmare on Elm Street Part 2: Freddy's Revenge,3000000,30000000,5.812,5.812,1596,31.72,Success
Lara Croft: Tomb Raider,115000000,274703340,5.874,5.874,5606,26.069,Success
Species,35000000,113374103,5.932,5.932,1407,26.961,Success
What to Expect When You're Expecting,40000000,79700000,6.029,6.029,1673,23.263,Success
Silent Hill: Revelation 3D,20000000,55362705,5.465,5.465,1426,32.962,Success
The Intern,35000000,194564672,7.199,7.199,6067,27.713,Success
Blitz,15774948,15800000,6.167,6.167,1471,24.761,Success
Don't Breathe,9900000,159047649,7.005,7.005,6773,27.712,Success
Dog Day Afternoon,1800000,46665856,7.833,7.833,2577,20.905,Success
The Polar Express,165000000,310634054,6.705,6.705,5571,34.205,Success
A Time to Kill,40000000,152266007,7.376,7.376,2150,31.15,Success
Hitman's Wife's Bodyguard,70000000,70060492,6.722,6.722,1881,29.423,Success
Seven Samurai,2000000,346300,8.459,8.459,3091,34.246,Flop
Red Dawn,17000000,38376497,6.288,6.288,640,22.244,Success
RoboCop,13000000,53424681,7.3,7.3,4426,37.091,Success
Sucker Punch,82000000,89792502,6.172,6.172,4324,30.743,Success
Along with the Gods: The Last 49 Days,18300000,112790210,8.197,8.197,494,24.698,Success
Kama Sutra: A Tale of Love,3000000,4109095,5.745,5.745,145,32.391,Success
Super 8,50000000,260095986,6.759,6.759,6101,23.687,Success
Stillwater,20000000,19754272,6.683,6.683,946,29.71,Flop
A Good Day to Die Hard,92000000,304654182,5.306,5.306,5879,25.335,Success
The French Dispatch,25000000,46333545,7.138,7.138,2087,31.66,Success
The Green Hornet,120000000,227817248,5.561,5.561,2921,37.131,Success
The Upside,37500000,125000000,7.1,7.1,1090,26.989,Success
Ashfall,17700000,61321941,6.782,6.782,500,30.491,Success
#Alive,6300000,13416285,7.3,7.3,1525,30.691,Success
Guardians,5400000,4803565,4.924,4.924,677,37.097,Flop
The Spiderwick Chronicles,90000000,164170327,6.621,6.621,2367,30.977,Success
Criminal,31500000,14708696,6.166,6.166,1556,24.93,Flop
Wallace & Gromit: The Curse of the Were-Rabbit,30000000,192610372,7.027,7.027,2361,30.576,Success
The Drop,12600000,19054534,6.768,6.768,1947,24.4,Success
The Man from Nowhere,1255000,43059790,7.679,7.679,1128,29.224,Success
Die Hard 2,70000000,240031094,6.92,6.92,5154,37.064,Success
For a Few Dollars More,600000,15000000,8.021,8.021,3465,36.12,Success
Pet Sematary,11500000,57469467,6.602,6.602,1884,30.667,Success
Twelve Monkeys,29000000,168841459,7.598,7.598,7508,37.006,Success
The Count of Monte Cristo,35000000,75395048,7.7,7.7,1555,26.417,Success
Sinister,3000000,82515113,6.9,6.9,4877,29.815,Success
Stardust,70000000,137515140,7.247,7.247,3659,29.411,Success
Hellboy II: The Golden Army,85000000,160388063,6.75,6.75,4681,27.111,Success
Dilwale Dulhania Le Jayenge,13200000,100000000,8.568,8.568,4150,22.458,Success
Pineapple Express,27000000,101624843,6.6,6.6,3384,26.33,Success
Spy Kids 3-D: Game Over,38000000,197011982,5.085,5.085,1980,32.65,Success
The Crow,23000000,50694672,7.496,7.496,3457,25.594,Success
The Human Centipede (First Sequence),2011799,252207,5.239,5.239,1919,29.693,Flop
ParaNorman,60000000,107139399,6.954,6.954,2268,29.192,Success
Nausicaä of the Valley of the Wind,1000000,3301446,7.933,7.933,3082,36.747,Success
The Grey,25000000,77278331,6.56,6.56,3486,33.088,Success
Night at the Museum: Battle of the Smithsonian,150000000,413106170,6.125,6.125,6298,24.137,Success
Goosebumps,58000000,158162788,6.316,6.316,3450,28.687,Success
Jurassic Park,63000000,920100000,7.935,7.935,14802,33.715,Success
Dumb and Dumber,16000000,247275374,6.6,6.6,5495,34.929,Success
Those Who Wish Me Dead,20000000,23384502,6.719,6.719,1351,31.651,Success
28 Weeks Later,15000000,65048678,6.583,6.583,3771,26.182,Success
I Can Only Imagine,7000000,86026201,7.502,7.502,406,28.183,Success
The Exorcism of Emily Rose,19000000,145166804,6.539,6.539,2476,36.627,Success
Spy Kids 2: The Island of Lost Dreams,38000000,119723358,5.579,5.579,1953,29.123,Success
Into the Blue,50000000,46117696,5.879,5.879,1343,25.123,Flop
Memories of Murder,2800000,26000000,8.064,8.064,3210,26.62,Success
The Man with the Golden Gun,7000000,97572000,6.436,6.436,1763,23.119,Success
Space Sweepers,21000000,24571,7.112,7.112,895,28.688,Flop
The Day the Earth Stood Still,80000000,233093859,5.586,5.586,3058,29.818,Success
Rocky V,42000000,119946358,5.8,5.8,2827,26.106,Success
8 Mile,41000000,242875078,7.125,7.125,6524,26.567,Success
Private Lessons,2800000,26279000,5.793,5.793,87,28.274,Success
Dances with Wolves,22000000,424208848,7.85,7.85,3732,36.508,Success
Men in Black: International,110000000,253890701,5.942,5.942,4359,32.573,Success
Kubo and the Two Strings,60000000,76249438,7.638,7.638,3298,32.666,Success
The Lone Ranger,215000000,260502115,6.09,6.09,5457,34.707,Success
The Smurfs,110000000,563749323,5.769,5.769,3425,34.156,Success
End of Days,100000000,211989043,6.04,6.04,1620,30.353,Success
As Good as It Gets,50000000,314178011,7.394,7.394,3372,26.008,Success
A Walk Among the Tombstones,28000000,58834384,6.318,6.318,2575,32.274,Success
xXx: State of the Union,60000000,71073932,5.008,5.008,1649,30.598,Success
A Beautiful Mind,58000000,316800000,7.854,7.854,9295,35.998,Success
Deep Impact,75000000,349464664,6.191,6.191,2663,25.144,Success
Cold Mountain,79000000,173013509,6.923,6.923,1568,36.31,Success
RoboCop,120000000,242688965,5.839,5.839,5024,30.944,Success
Déjà Vu,75000000,180557550,6.838,6.838,4254,31.292,Success
Space Jam,80000000,250200000,6.8,6.8,5503,25.389,Success
Chinatown,6000000,30000000,7.924,7.924,3332,34.837,Success
Special Forces,10000000,3424648,6.7,6.7,488,36.27,Flop
Trainspotting,4000000,16491080,8.0,8.0,8841,25.904,Success
Aftermath,10500000,840809,5.737,5.737,803,25.841,Flop
Run,1700000,3400000,7.347,7.347,2139,27.302,Success
Over the Hedge,80000000,343397247,6.523,6.523,4004,31.082,Success
Friday the 13th Part VI: Jason Lives,3000000,19472057,6.209,6.209,992,34.578,Success
How to Be Single,38000000,112343513,6.232,6.232,3012,27.083,Success
The Purge: Election Year,10000000,118587880,6.397,6.397,4830,36.173,Success
Willy's Wonderland,5000000,431020,6.067,6.067,735,33.896,Flop
The Blair Witch Project,200000,248639099,6.341,6.341,4231,27.172,Success
The Bourne Supremacy,75000000,288500217,7.309,7.309,6809,32.219,Success
A Few Good Men,40000000,243240178,7.5,7.5,3095,26.467,Success
The Secret Life of Walter Mitty,90000000,188133322,7.17,7.17,6976,31.768,Success
Hitman,24000000,99965753,6.086,6.086,2953,34.264,Success
The Running Man,27000000,38122105,6.521,6.521,2008,25.561,Success
Unhinged,33000000,39238300,6.465,6.465,1919,25.678,Success
Airport,10000000,100489151,6.4,6.4,324,25.356,Success
The Frighteners,30000000,29359216,6.87,6.87,1321,22.105,Flop
Lockout,20000000,32948113,5.899,5.899,1667,25.757,Success
The Dreamers,15000000,15121165,7.219,7.219,2570,28.555,Success
Poltergeist,35000000,95437994,5.196,5.196,2101,24.015,Success
Project Almanac,12000000,33213241,6.696,6.696,2321,30.051,Success
What Women Want,70000000,374111707,6.4,6.4,3536,25.045,Success
Dumbo,812000,1600000,6.998,6.998,4480,31.795,Success
9 Bullets,3000000,193908,5.4,5.4,78,31.477,Flop
Master and Commander: The Far Side of the World,150000000,212011111,7.12,7.12,2746,24.993,Success
Journey to the Center of the Earth,45000000,101702060,6.061,6.061,4386,31.242,Success
"Big Mommas: Like Father, Like Son",32000000,83615414,5.523,5.523,1101,18.841,Success
Enchanted,85000000,340487652,6.805,6.805,4985,29.738,Success
Hook,70000000,300855000,6.824,6.824,4816,27.033,Success
47 Ronin,175000000,151783839,6.152,6.152,3488,22.286,Flop
Wanted,75000000,342463063,6.505,6.505,6452,28.834,Success
The Day After Tomorrow,125000000,552639571,6.502,6.502,7272,34.859,Success
Never Back Down,20000000,41627431,6.757,6.757,2108,26.229,Success
Jumper,85000000,222231186,6.14,6.14,5229,30.229,Success
A Cinderella Story,19000000,70067909,6.52,6.52,2947,25.493,Success
Unforgiven,14400000,159157447,7.921,7.921,3847,32.573,Success
Her,23000000,47351251,7.863,7.863,13165,34.374,Success
Once Upon a Time in Mexico,29000000,98185582,6.272,6.272,1937,26.418,Success
Striptease,50000000,113309743,5.566,5.566,953,28.265,Success
The Peanuts Movie,99000000,246233113,6.9,6.9,1436,25.414,Success
The Lobster,4000000,15656193,7.027,7.027,5440,30.763,Success
Underworld: Evolution,50000000,111476513,6.57,6.57,3638,30.651,Success
Halloween 4: The Return of Michael Myers,5000000,17800000,6.207,6.207,1673,26.807,Success
Transporter 3,30000000,108979549,6.14,6.14,3024,35.512,Success
The Huntsman: Winter's War,115000000,164989338,6.287,6.287,4508,29.01,Success
Annie,65000000,133821816,6.2,6.2,1197,31.581,Success
Dogtooth,275576,110197,7.1,7.1,1886,15.555,Flop
Revenge,2900000,692079,6.421,6.421,1531,27.559,Flop
Stargate,55000000,196567262,6.971,6.971,2975,29.502,Success
Remember Me,16000000,56032889,7.11,7.11,3326,25.803,Success
Lolita,2000000,9250000,7.36,7.36,1802,29.501,Success
An American Werewolf in London,10000000,31973249,7.365,7.365,2054,28.05,Success
The Adventures of Tintin,130000000,373993951,6.879,6.879,4936,29.797,Success
Hellraiser,1000000,14575193,6.897,6.897,2165,28.443,Success
The Nice Guys,50000000,62788218,7.102,7.102,7050,24.198,Success
The Mortal Instruments: City of Bones,60000000,95396573,6.433,6.433,4231,35.378,Success
Skyscraper,125000000,292351275,6.324,6.324,4512,33.199,Success
Kick-Ass 2,28000000,60700000,6.397,6.397,5700,27.742,Success
Mars Attacks!,70000000,101371017,6.397,6.397,4915,29.989,Success
Goosebumps 2: Haunted Halloween,35000000,93320380,6.121,6.121,1324,25.792,Success
Stagecoach,531374,1103757,7.687,7.687,951,20.982,Success
Return to the Blue Lagoon,11000000,2807854,6.26,6.26,1043,28.731,Flop
Elysium,115000000,286140700,6.494,6.494,8076,28.835,Success
Annie,35000000,57059003,6.52,6.52,614,19.53,Success
A View to a Kill,30000000,152427960,6.203,6.203,1725,26.179,Success
Monster,8000000,60378584,7.241,7.241,2046,24.38,Success
The Witch,3500000,40423945,6.919,6.919,6233,26.131,Success
The Smurfs 2,105000000,347434178,5.778,5.778,1992,24.78,Success
Ong Bak: Muay Thai Warrior,1100000,20112926,7.08,7.08,1503,33.727,Success
Meet the Fockers,80000000,516642939,6.228,6.228,4337,29.126,Success
Emma.,10000000,25155355,7.045,7.045,1523,29.288,Success
House of Wax,40000000,68766121,5.913,5.913,2686,33.724,Success
RED,58000000,199000000,6.705,6.705,6106,27.424,Success
Cult of Chucky,6500000,2200000,5.798,5.798,1108,35.027,Flop
Robin Hood,5000000,32056467,7.285,7.285,3954,30.419,Success
Scott Pilgrim vs. the World,85000000,48000000,7.463,7.463,6995,35.153,Flop
